stop_id,stop_name,stop_lat,stop_lon
38_33,Kg Salambigar (Spg 736 / 700 / 638),0.0,0.0
38_34,Kg Tanah Jambu (SR Tanah Jambu),0.0,0.0
38_35,Kg Sungai Hancing (Spg 560),0.0,0.0
38_36,J. Muara (Kg Salambigar),0.0,0.0
38_37,Kg Sungai Hancing (Spg 542),0.0,0.0
38_38,Kg Sungai Hancing (Spg 529 / 655),0.0,0.0
38_39,J. Muara Kg Sg Tilong (Spg 462 / 440 / 350),0.0,0.0
38_40,Kg Sungai Tilong (Spg 311/351/395/427),0.0,0.0
38_41,J. Muara (Hua Ho Manggis Mall),0.0,0.0
38_42,J. Muara (SR Delima),0.0,0.0
39_1,BSB Bus Terminal,0.0,0.0
39_2,J. Residencyc (Tanah Perkuburan/Cemetery),0.0,0.0
39_3,J. Residencyc (Brunei Handycraft Centre),0.0,0.0
39_4,J. Kota Batu (Kg Sg Lampas Spg 205),0.0,0.0
39_5,J. Kota Batu-Kg Sg Lampas (Spg 214 / Fire Rescue),0.0,0.0
39_6,J. Kota Batu - Kg Pintu Malim (Spg 231/253),0.0,0.0
39_7,Kg Pintu Malim (SR Pintu Malim),0.0,0.0
39_8,J. Kota Batu (Kg Kota Batu (Museum)),0.0,0.0
39_9,Kg Kota Batu (Brunei Museum),0.0,0.0
39_10,J. Kota Batu (Kg Pelambaian),0.0,0.0
39_11,J. Kota Batu (Kg Pelambaian),0.0,0.0
39_12,J. Kota Batu (Kg Dato Gandi Spg 569),0.0,0.0
39_13,Kg Dato Gandi (Spg 572),0.0,0.0
39_14,J. Kota Batu (Kg Sg Matan Spg 663/700),0.0,0.0
39_15,Kg Sg Matan (Spg 722 / 702 / 664),0.0,0.0
39_16,J. Kota Batu (Kg Seredang Spg 755),0.0,0.0
39_17,Mangrove Resort,0.0,0.0
39_18,Mangrove Resort,0.0,0.0
39_19,J. Kota Batu (Kg Sungai Belukut),0.0,0.0
39_20,Pekan Muara,0.0,0.0
39_21,Kg Sabun (Masjid Setia Ali),0.0,0.0
39_22,J. Muara (Muara Post Office),0.0,0.0
39_23,J. Muara (Kg Kapok Spg 209 / 279),0.0,0.0
39_24,J. Muara (Kg Sabun Spg 158),0.0,0.0
39_25,Kg Kapok (Spg 425/459/481/531),0.0,0.0
